case,seed,status,selection_metric,target_env,accuracy,macro_f1,min_class_f1,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,min_f1_1_4,source_val_min_f1_1_4,c1_to_c4,c4_to_c1,confusion_matrix_path,split_manifest_exists,run_dir
baseline,42,complete,min_f1_1_4,E2,0.7953333333333333,0.7862052441216251,0.5330882352941178,0.9257191927866038,0.5330882352941178,0.7970149253731343,0.9261744966442953,0.5402597402597403,0.9949748743718593,0.5330882352941178,0.8351648351648352,77,185,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_lam01_focus14_e2_smoke\dg_loeo\pa_csi_dg_k1_nomargin_dcb_nogeom_e2_smoke\target_E2\seed_42\confusion_matrix.csv,True,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_lam01_focus14_e2_smoke\dg_loeo\pa_csi_dg_k1_nomargin_dcb_nogeom_e2_smoke\target_E2\seed_42
proposed,42,complete,min_f1_1_4,E2,0.847,0.8234284247378943,0.5744234800838575,0.9662825437473325,0.5744234800838575,0.8897742363877822,0.9333333333333333,0.579250720461095,0.9975062344139651,0.5744234800838575,0.9130434782608695,82,169,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_lam01_focus14_e2_smoke\dg_loeo\pa_csi_dg_k1_cc_vrex_lam01_focus14_nogeom_e2_smoke\target_E2\seed_42\confusion_matrix.csv,True,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_lam01_focus14_e2_smoke\dg_loeo\pa_csi_dg_k1_cc_vrex_lam01_focus14_nogeom_e2_smoke\target_E2\seed_42
