case,seed,status,selection_metric,target_env,accuracy,macro_f1,min_class_f1,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,min_f1_1_4,source_val_min_f1_1_4,c1_to_c4,c4_to_c1,confusion_matrix_path,split_manifest_exists,run_dir
baseline,42,complete,min_f1_1_4,E2,0.784,0.7682588468350274,0.42369838420107725,0.9038724373576309,0.5470779220779222,0.8500000000000001,0.8948545861297539,0.42369838420107725,0.9900497512437811,0.42369838420107725,0.8619718309859153,34,237,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_focus14_e2_nogeom_smoke\dg_loeo\pa_csi_dg_k1_nomargin_dcb_nogeom_e2_smoke\target_E2\seed_42\confusion_matrix.csv,True,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_focus14_e2_nogeom_smoke\dg_loeo\pa_csi_dg_k1_nomargin_dcb_nogeom_e2_smoke\target_E2\seed_42
proposed,42,complete,min_f1_1_4,E2,0.8576666666666667,0.8396368806543232,0.6591836734693877,0.9597924773022048,0.6591836734693877,0.8535911602209943,0.903954802259887,0.6638054363376251,0.9974937343358395,0.6591836734693877,0.8896103896103895,34,128,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_focus14_e2_nogeom_smoke\dg_loeo\pa_csi_dg_k1_cc_vrex_focus14_nogeom_e2_smoke\target_E2\seed_42\confusion_matrix.csv,True,C:\Users\howie\Desktop\pa-csi-dg\outputs_cc_vrex_focus14_e2_nogeom_smoke\dg_loeo\pa_csi_dg_k1_cc_vrex_focus14_nogeom_e2_smoke\target_E2\seed_42
