case,seed,status,selection_metric,target_env,accuracy,macro_f1,f1_class_1,f1_class_4,min_f1_1_4,source_val_min_f1_1_4,c1_to_c4,c4_to_c1,split_manifest_exists,run_dir
baseline,42,complete,min_f1_1_4,E2,0.8273333333333334,0.7791710139265517,0.5367741935483871,0.585635359116022,0.5367741935483871,0.7340823970037452,167,102,True,C:\Users\howie\Desktop\pa-csi-dg\outputs_k1_pairmargin_14_e2_smoke\dg_loeo\pa_csi_dg_k1_nomargin_e2_smoke\target_E2\seed_42
proposed,42,complete,min_f1_1_4,E2,0.8446666666666667,0.8097393077268696,0.3654159869494291,0.6611740473738414,0.3654159869494291,0.28846153846153844,227,42,True,C:\Users\howie\Desktop\pa-csi-dg\outputs_k1_pairmargin_14_e2_smoke\dg_loeo\pa_csi_dg_k1_pairmargin_14_e2_smoke\target_E2\seed_42
