contrastive_loss_type,lambda_supcon,batch_size,sampler_mode,num_runs,mean_test_accuracy,std_test_accuracy,mean_test_f1_macro,std_test_f1_macro,mean_best_val_accuracy,std_best_val_accuracy,mean_loss_supcon_to_ce,mean_supcon_frac_anchors_with_positive
pairwise_supcon,0.2,32,domain_balanced,1,0.899,0.0,0.8794470523867411,0.0,1.0,0.0,1.3783883822694982,1.0
pairwise_supcon,0.2,32,none,1,0.8863333333333333,0.0,0.8620271663700357,0.0,1.0,0.0,1.1409626185184365,1.0
pairwise_supcon,0.2,32,domain_class_balanced,5,0.8757333333333334,0.006836990891060528,0.8539746915645844,0.008150007921809936,0.9994999999999999,0.0007453559924999471,0.9209697530153853,1.0
pairwise_supcon,0.05,32,none,1,0.8803333333333333,0.0,0.8566959519616817,0.0,0.9991666666666666,0.0,0.28128787799510796,1.0
pairwise_supcon,0.2,16,domain_balanced,1,0.8693333333333333,0.0,0.8453306868319186,0.0,0.9991666666666666,0.0,0.7811719823225609,1.0
pairwise_supcon,0.2,16,domain_class_balanced,2,0.8815,0.015320646925708491,0.8556251597221228,0.021689981728495546,0.9991666666666666,0.0,0.9314086858140156,1.0
pairwise_supcon,0.2,16,none,1,0.8903333333333333,0.0,0.8668941143816564,0.0,0.9991666666666666,0.0,0.9503084543703154,1.0
pairwise_supcon,0.05,32,domain_class_balanced,13,0.8648461538461538,0.011862339554872803,0.8442255417265935,0.011267220694172185,0.9985897435897436,0.0008596278927303763,0.24409246626220482,1.0
pairwise_supcon,0.1,32,domain_class_balanced,4,0.8675833333333334,0.019492401178502983,0.8373786239045,0.029646465709776665,0.9985416666666667,0.0010485881160098138,0.3999195403046451,1.0
pairwise_supcon,0.05,16,domain_balanced,1,0.8693333333333333,0.0,0.8500478862318515,0.0,0.9983333333333333,0.0,0.23900215115484408,1.0
pairwise_supcon,0.05,16,domain_class_balanced,2,0.8848333333333334,0.012492219800962377,0.8628008944413847,0.013134575012876846,0.9983333333333333,0.0,0.2839121397082107,1.0
pairwise_supcon,0.05,32,domain_balanced,1,0.8723333333333333,0.0,0.848677109112292,0.0,0.9983333333333333,0.0,0.1790184989395783,1.0
pairwise_supcon,0.05,8,domain_balanced,1,0.8706666666666667,0.0,0.8457483688354044,0.0,0.9983333333333333,0.0,0.20365724854123926,1.0
pairwise_supcon,0.05,8,domain_class_balanced,1,0.872,0.0,0.8459937352268239,0.0,0.9983333333333333,0.0,0.14778425843994852,1.0
pairwise_supcon,0.1,16,domain_class_balanced,1,0.8443333333333334,0.0,0.8222763277692539,0.0,0.9983333333333333,0.0,0.37791880246986753,1.0
pairwise_supcon,0.2,8,domain_class_balanced,1,0.8856666666666667,0.0,0.8618497730208302,0.0,0.9983333333333333,0.0,1.0339851118504653,1.0
pairwise_supcon,0.4,16,domain_class_balanced,1,0.9206666666666666,0.0,0.9021333012189604,0.0,0.9983333333333333,0.0,3.013029079128183,1.0
pairwise_supcon,0.0,16,domain_class_balanced,1,0.8663333333333333,0.0,0.8436843212718771,0.0,0.9975,0.0,0.0,0.0
pairwise_supcon,0.05,16,none,1,0.871,0.0,0.8427992605137958,0.0,0.9975,0.0,0.20348849316482104,1.0
pairwise_supcon,0.2,8,domain_balanced,1,0.8913333333333333,0.0,0.8675581522657431,0.0,0.9975,0.0,0.5928642817644851,1.0
pairwise_supcon,0.025,16,domain_class_balanced,1,0.852,0.0,0.834005763480221,0.0,0.9966666666666667,0.0,0.10266400900432296,1.0
pairwise_supcon,0.2,8,none,1,0.8733333333333333,0.0,0.8562068916093954,0.0,0.9966666666666667,0.0,0.5218086646180314,1.0
pairwise_supcon,0.05,8,none,1,0.8453333333333334,0.0,0.8192960443399632,0.0,0.9958333333333333,0.0,0.182286198198872,1.0
