contrastive_loss_type,lambda_supcon,lambda_supcon_warmup_epochs,num_runs,mean_test_accuracy,std_test_accuracy,mean_test_f1_macro,std_test_f1_macro,mean_best_val_accuracy,std_best_val_accuracy,mean_loss_supcon_to_ce,mean_supcon_frac_anchors_with_positive
pairwise_supcon,0.1,40,1,0.849,0.0,0.8129955681935086,0.0,1.0,0.0,0.35735879707167195,1.0
pairwise_supcon,0.2,10,1,0.886,0.0,0.8656807467370182,0.0,1.0,0.0,0.9899376037914891,1.0
pairwise_supcon,0.05,40,1,0.8613333333333333,0.0,0.8389516886942219,0.0,0.9991666666666666,0.0,0.2116843137078586,1.0
pairwise_supcon,0.2,20,1,0.877,0.0,0.8534635925568689,0.0,0.9991666666666666,0.0,0.7002374354278442,1.0
pairwise_supcon,0.2,0,11,0.8824242424242424,0.01036242239921718,0.8598723222068223,0.011407683574896823,0.9990151515151515,0.0011066830958984806,0.9489791762652431,1.0
pairwise_supcon,0.05,0,19,0.8690350877192983,0.012981418218875758,0.8475880346576747,0.01211376626479802,0.998421052631579,0.0009168660070336199,0.23769761151990532,1.0
pairwise_supcon,0.1,0,2,0.8655,0.029934187070230513,0.844998892506748,0.03213455922366475,0.9983333333333333,0.0,0.4236796670318771,1.0
pairwise_supcon,0.1,20,1,0.8526666666666667,0.0,0.810906626078138,0.0,0.9983333333333333,0.0,0.3326454977914996,1.0
pairwise_supcon,0.2,40,1,0.8673333333333333,0.0,0.8426977305645561,0.0,0.9983333333333333,0.0,0.7382096542817429,1.0
pairwise_supcon,0.4,0,1,0.9206666666666666,0.0,0.9021333012189604,0.0,0.9983333333333333,0.0,3.013029079128183,1.0
pairwise_supcon,0.0,0,1,0.8663333333333333,0.0,0.8436843212718771,0.0,0.9975,0.0,0.0,0.0
pairwise_supcon,0.05,10,1,0.865,0.0,0.8261601696140525,0.0,0.9975,0.0,0.22551225600676258,1.0
pairwise_supcon,0.05,20,1,0.8556666666666667,0.0,0.8405076707462028,0.0,0.9975,0.0,0.22409987866667316,1.0
pairwise_supcon,0.1,10,1,0.882,0.0,0.8578908441021117,0.0,0.9975,0.0,0.44023333476152227,1.0
pairwise_supcon,0.025,0,1,0.852,0.0,0.834005763480221,0.0,0.9966666666666667,0.0,0.10266400900432296,1.0
