sweep_root,metrics_path,experiment_name,seed,target_env,source_envs,contrastive_loss_type,lambda_supcon,lambda_supcon_warmup_epochs,lambda_supcon_target,lambda_supcon_effective,temperature,batch_size,sampler_mode,include_same_domain_same_class,supcon_positive_mode,lambda_pair_margin,effective_pair_margin_weight,prototype_num_subcenters,selection_metric,best_val_score,best_val_accuracy,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,loss_supcon_weighted,loss_supcon_to_ce,supcon_mean_positives_per_anchor,supcon_frac_anchors_with_positive
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs16_domain_class_balanced_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs16_domain_class_balanced_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9991666666666666,0.9991666666666666,0.8923333333333333,0.8709622928861543,0.8776116772376902,0.8663888888888889,0.8256058165367615,1.1061484713161656,51.266666666666666,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs16_none_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs16_none_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,16,none,True,all_views,0.0,0.0,0,accuracy,0.9991666666666666,0.9991666666666666,0.8903333333333333,0.8668941143816564,0.8698497563722946,0.8669444444444445,0.8302235600796153,0.9503084543703154,51.266666666666666,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs32_domain_balanced_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs32_domain_balanced_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,32,domain_balanced,True,all_views,0.0,0.0,0,accuracy,1.0,1.0,0.899,0.8794470523867411,0.8838703899929493,0.8772222222222222,0.9277834177017212,1.3783883822694982,79.85333333333334,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs32_domain_class_balanced_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs32_domain_class_balanced_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,32,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,1.0,1.0,0.8756666666666667,0.8547981116500614,0.8590211406139713,0.8527777777777779,0.9273522742251133,1.3406856105513678,79.85333333333334,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs32_none_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs32_none_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,32,none,True,all_views,0.0,0.0,0,accuracy,1.0,1.0,0.8863333333333333,0.8620271663700357,0.8647213929590402,0.8602777777777778,0.9194234061748423,1.1409626185184365,79.85333333333334,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs8_domain_balanced_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs8_domain_balanced_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,8,domain_balanced,True,all_views,0.0,0.0,0,accuracy,0.9975,0.9975,0.8913333333333333,0.8675581522657431,0.8735131308436571,0.8636111111111111,0.7120869720458985,0.5928642817644851,28.653333333333332,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs8_domain_class_balanced_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs8_domain_class_balanced_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,8,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9983333333333333,0.9983333333333333,0.8856666666666667,0.8618497730208302,0.8648949881796958,0.8602777777777778,0.7112553540547689,1.0339851118504653,28.653333333333332,1.0
outputs_supcon_batch_sampler_sweep,outputs_supcon_batch_sampler_sweep\dg_loeo\pa_csi_dg_supcon_lam0200_bs8_none_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0200_bs8_none_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.2,0,0.2,0.2,0.2,8,none,True,all_views,0.0,0.0,0,accuracy,0.9966666666666667,0.9966666666666667,0.8733333333333333,0.8562068916093954,0.8588228718774658,0.8573611111111111,0.7301112756093344,0.5218086646180314,28.653333333333332,1.0
outputs_supcon_lambda_sweep,outputs_supcon_lambda_sweep\dg_loeo\pa_csi_dg_supcon_lam0000_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0000_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.0,0,0.0,0.0,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9975,0.9975,0.8663333333333333,0.8436843212718771,0.8457516604725158,0.8427777777777777,0.0,0.0,0.0,0.0
outputs_supcon_lambda_sweep,outputs_supcon_lambda_sweep\dg_loeo\pa_csi_dg_supcon_lam0025_tau020\target_E2\seed_42\metrics.json,pa_csi_dg_supcon_lam0025_tau020,42,E2,"[""E1"", ""E3""]",pairwise_supcon,0.025,0,0.025,0.025,0.2,16,domain_class_balanced,True,all_views,0.0,0.0,0,accuracy,0.9966666666666667,0.9966666666666667,0.852,0.834005763480221,0.8528012214167623,0.8293055555555555,0.1041279639335389,0.10266400900432296,51.266666666666666,1.0
