contrastive_loss_type,lambda_supcon,temperature,include_same_domain_same_class,supcon_positive_mode,num_runs,mean_test_accuracy,std_test_accuracy,mean_test_f1_macro,std_test_f1_macro,mean_best_val_accuracy,std_best_val_accuracy,mean_loss_supcon_to_ce,mean_supcon_frac_anchors_with_positive
pairwise_supcon,0.2,0.2,True,global_class_instance_views,4,0.87575,0.007894559777091711,0.8537688365432151,0.00939579676780705,0.999375,0.0007978559231303002,0.8160407886313896,1.0
pairwise_supcon,0.05,0.2,False,global_class_instance_views,1,0.849,0.0,0.8304996678052065,0.0,0.9991666666666666,0.0,0.19725777784058152,1.0
pairwise_supcon,0.05,0.3,True,all_views,1,0.8516666666666667,0.0,0.8404510070362784,0.0,0.9991666666666666,0.0,0.22723637922320905,1.0
pairwise_supcon,0.2,0.2,True,all_views,10,0.8834,0.010376611878357698,0.8605362267960628,0.011798624317417987,0.9989166666666667,0.0011145779248743673,0.9602992477893192,1.0
pairwise_supcon,0.1,0.2,True,global_class_instance_views,4,0.8675833333333334,0.019492401178502983,0.8373786239045,0.029646465709776665,0.9985416666666667,0.0010485881160098138,0.3999195403046451,1.0
pairwise_supcon,0.05,0.2,True,global_class_instance_views,5,0.8673333333333333,0.009715394427859765,0.842454293764652,0.01138716538567855,0.9985,0.0009128709291752372,0.2218749178461217,1.0
pairwise_supcon,0.05,0.07,True,all_views,1,0.869,0.0,0.8517072180316042,0.0,0.9983333333333333,0.0,0.29608414563604535,1.0
pairwise_supcon,0.05,0.1,True,all_views,1,0.8626666666666667,0.0,0.8406434528970448,0.0,0.9983333333333333,0.0,0.23259316856049556,1.0
pairwise_supcon,0.1,0.2,True,all_views,1,0.8443333333333334,0.0,0.8222763277692539,0.0,0.9983333333333333,0.0,0.37791880246986753,1.0
pairwise_supcon,0.4,0.2,True,all_views,1,0.9206666666666666,0.0,0.9021333012189604,0.0,0.9983333333333333,0.0,3.013029079128183,1.0
pairwise_supcon,0.05,0.2,True,all_views,12,0.8725277777777778,0.012754447299899987,0.8492554669797162,0.013861764914936183,0.9982638888888888,0.0010334270078101065,0.23363806821143915,1.0
pairwise_supcon,0.0,0.2,True,all_views,1,0.8663333333333333,0.0,0.8436843212718771,0.0,0.9975,0.0,0.0,0.0
pairwise_supcon,0.05,0.2,False,all_views,1,0.8543333333333333,0.0,0.8431537692003083,0.0,0.9975,0.0,0.31134818823128557,1.0
pairwise_supcon,0.025,0.2,True,all_views,1,0.852,0.0,0.834005763480221,0.0,0.9966666666666667,0.0,0.10266400900432296,1.0
