contrastive_loss_type,lambda_supcon,temperature,num_runs,mean_test_accuracy,std_test_accuracy,mean_test_f1_macro,std_test_f1_macro,mean_best_val_accuracy,std_best_val_accuracy,mean_loss_supcon_to_ce,mean_supcon_frac_anchors_with_positive
pairwise_supcon,0.05,0.3,1,0.8516666666666667,0.0,0.8404510070362784,0.0,0.9991666666666666,0.0,0.22723637922320905,1.0
pairwise_supcon,0.2,0.2,14,0.8812142857142857,0.010089011660621488,0.8586026867238206,0.011261100558121864,0.9990476190476191,0.0010262132103581276,0.9190825451727679,1.0
pairwise_supcon,0.1,0.2,5,0.8629333333333333,0.01982618918949827,0.8343581646774508,0.026548080279411114,0.9984999999999999,0.0009128709291752675,0.3955193927376896,1.0
pairwise_supcon,0.05,0.07,1,0.869,0.0,0.8517072180316042,0.0,0.9983333333333333,0.0,0.29608414563604535,1.0
pairwise_supcon,0.05,0.1,1,0.8626666666666667,0.0,0.8406434528970448,0.0,0.9983333333333333,0.0,0.23259316856049556,1.0
pairwise_supcon,0.05,0.2,19,0.8689649122807017,0.012791728971662534,0.8461573952413353,0.013060184439643392,0.9983333333333333,0.0009622504486493557,0.23271775651788135,1.0
pairwise_supcon,0.4,0.2,1,0.9206666666666666,0.0,0.9021333012189604,0.0,0.9983333333333333,0.0,3.013029079128183,1.0
pairwise_supcon,0.0,0.2,1,0.8663333333333333,0.0,0.8436843212718771,0.0,0.9975,0.0,0.0,0.0
pairwise_supcon,0.025,0.2,1,0.852,0.0,0.834005763480221,0.0,0.9966666666666667,0.0,0.10266400900432296,1.0
